"","as.numeric(DOY)","meanSR1","meanSR2","meanSR3","meanSR4","meanST1","meanST2","meanST3","meanST4","meanSM1","meanSM2","meanSM3","meanSM4"
"174",176,0.794782608695652,0.55625,0.7075,0.483125,45.80625,43.52125,43.922,43.24125,0.0715761,0.08937660425,0.0905509084,0.06751976975
"175",177,2.46875,2.15541666666667,2.88,5.7,30.5470588235294,30.0641176470588,32.638,30.4305882352941,0.164322516705882,0.193396605294118,0.1900142758,0.150781508588235
"176",178,2.81708333333333,2.38666666666667,3.10416666666667,NA,32.98875,31.75875,38.2371428571429,31.0333333333333,0.139997675541667,0.172669137458333,0.175361660285714,0.139398346333333
"177",179,2.76,1.94826086956522,2.61434782608696,NA,34.0791304347826,32.6469565217391,38.7314285714286,31.5352173913043,0.10305792273913,0.150603058956522,0.156584306285714,0.125290325652174
"178",180,2.6075,1.70291666666667,2.42125,NA,36.0870833333333,34.36,40.5657142857143,32.91625,0.073598876375,0.122773813708333,0.133906942,0.107348962
"179",181,2.34083333333333,1.455,2.12958333333333,NA,36.36,34.3395833333333,40.85125,33.2708333333333,0.060728480625,0.095879506,0.10729124075,0.089981592625
"180",182,2.13916666666667,1.27416666666667,1.91958333333333,NA,37.5420833333333,35.2395833333333,44.4371428571429,34.3045833333333,0.0557746449583333,0.0780942313333333,0.0904868075714286,0.076659689
"181",183,1.80041666666667,1.07666666666667,1.59916666666667,NA,34.5277272727273,33.0722727272727,40.1555555555556,32.1677272727273,0.0520636586818182,0.0681303535,0.082449812,0.0692309957272727
"182",184,1.359,0.771904761904762,1.28421052631579,NA,34.677619047619,32.8852380952381,44.8471428571429,31.4738095238095,0.0796417263333333,0.0973154236666667,0.0884770304285714,0.0893906484761905
"183",185,2.52583333333333,2.32833333333333,2.82826086956522,NA,28.9933333333333,28.3795833333333,34.5516666666667,28.04375,0.180763316791667,0.214807337375,0.211830928333333,0.165112915375
"184",186,2.8575,3.08375,3.1275,NA,32.5954166666667,31.2566666666667,33.275,30.89875,0.140313508083333,0.178336425666667,0.18161257425,0.144643528708333
"185",187,2.66958333333333,3.16375,3.18541666666667,NA,35.1025,33.2754166666667,38.1225,33.7845833333333,0.105802102583333,0.161430388166667,0.174760755,0.134724722
"186",188,2.87583333333333,3.05541666666667,2.96833333333333,1.73545454545455,34.8675,33.6108333333333,35.8238461538462,34.6995833333333,0.0760075557083333,0.135297778708333,0.152544373846154,0.118961203708333
"187",189,2.91125,2.9225,2.81833333333333,1.45083333333333,35.0041666666667,33.975,32.5625,35.15,0.0646611305,0.112317782,0.136243586208333,0.103212589
"188",190,1.91708333333333,2.01333333333333,1.725,1.21041666666667,29.3708333333333,28.5916666666667,28.34375,29.15,0.116095135083333,0.144036539875,0.141487807208333,0.124193033791667
"189",191,3.13696428571429,2.62345454545455,2.86175438596491,1.46333333333333,27.8327586206897,27.2586206896552,27.2068965517241,27.2396551724138,0.162083693896552,0.181614845327586,0.165138504137931,0.146273330327586
"190",192,3.57521739130435,2.92608695652174,3.49695652173913,1.48869565217391,30.604347826087,29.7478260869565,29.395652173913,29.2782608695652,0.157125793652174,0.18419611126087,0.17015441573913,0.146877905130435
"191",193,1.64695652173913,1.4395652173913,1.73333333333333,0.748095238095238,25.9809523809524,25.652380952381,25.3444444442857,25.4190476190476,0.158583549761905,0.183162552190476,0.183039204285714,0.150816093809524
"192",194,2.3355,1.974,2.47105263157895,1.331875,26.8191304347826,26.3139130434783,26.901,26.0073913043478,0.187016542695652,0.206929380434783,0.21542094955,0.169747928347826
"193",195,2.46333333333333,2.34782608695652,2.45260869565217,1.0395652173913,27.6573913043478,27.5791304347826,27.4685714285714,27.6634782608696,0.178947120130435,0.205913010434783,0.220454010428571,0.169661200304348
"194",196,2.16666666666667,3.38272727272727,3.17434782608696,1.49869565217391,29.6439130434783,30.1791304347826,31.2311111111111,30.5569565217391,0.145371522652174,0.18025941026087,0.190305311222222,0.154532816521739
"195",197,1.05,2.64181818181818,2.58347826086957,1.46086956521739,26.4469565217391,26.9478260869565,26.423,27.184347826087,0.131126505,0.171060170347826,0.1752988135,0.145221263217391
"196",198,1.94777777777778,1.89631578947368,2.1205,0.995714285714286,25.1539130434783,25.2678260869565,25.1890909090909,25.004347826087,0.159301653478261,0.191649617782609,0.195805996045455,0.155661543521739
"197",199,1.055,2.98368421052632,2.97272727272727,1.45863636363636,26.63,27.4116666666667,27.511,27.5966666666667,0.169861354375,0.197368705875,0.2104256868,0.164899442041667
"198",200,1.255,3.38454545454545,3.22833333333333,1.49291666666667,25.9683333333333,26.495,27.5125,26.4991666666667,0.140516575958333,0.173243262583333,0.1872279566875,0.150168948916667
"199",201,0.27,3.4247619047619,3.50909090909091,1.69181818181818,24.4290909090909,24.2581818181818,24.6457142857143,24.16,0.128694055545455,0.162941046545455,0.174073909428571,0.142224468545455
"200",202,0.81,2.82217391304348,3.20708333333333,1.54333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"201",203,NA,2.179,2.62695652173913,1.27826086956522,NA,NA,NA,NA,NA,NA,NA,NA
"202",204,0.81,1.89333333333333,2.62869565217391,1.32608695652174,NA,NA,NA,NA,NA,NA,NA,NA
"203",205,1.51666666666667,2.58954545454545,3.50454545454545,1.56909090909091,NA,NA,NA,NA,NA,NA,NA,NA
"204",206,2.15833333333333,2.88,3.57521739130435,1.77217391304348,NA,NA,NA,NA,NA,NA,NA,NA
"205",207,0.802142857142857,1.91347826086957,2.57190476190476,1.31333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"206",208,1.021875,1.67727272727273,1.92608695652174,1.08380952380952,NA,NA,NA,NA,NA,NA,NA,NA
"207",209,1.18,1.83761904761905,2.19666666666667,1.56214285714286,NA,NA,NA,NA,NA,NA,NA,NA
"208",210,0.798333333333333,1.26347826086957,1.63285714285714,0.644545454545455,NA,NA,NA,NA,NA,NA,NA,NA
"209",211,1.58875,2.34045454545455,3.01045454545455,1.39409090909091,NA,NA,NA,NA,NA,NA,NA,NA
"210",212,1.64470588235294,3.5,4.17391304347826,1.94260869565217,NA,NA,NA,NA,NA,NA,NA,NA
"211",213,0.941875,1.20315789473684,1.55142857142857,1.09555555555556,NA,NA,NA,NA,NA,NA,NA,NA
"212",214,1.39857142857143,1.72291666666667,2.76047619047619,1.48,27.3384615384615,27.5923076923077,28.046,28.2461538461538,0.205422810384615,0.234176590923077,0.2410492362,0.195877396384615
"213",215,1.65714285714286,2.52,2.5825,1.33916666666667,26.5041666666667,26.6683333333333,27.6377777777778,26.9841666666667,0.192077001791667,0.219754711833333,0.232645660055556,0.185151658083333
"214",216,1.52941176470588,3.46125,3.66583333333333,1.99041666666667,28.1733333333333,26.845,27.3180952380952,27.5366666666667,0.167173286916667,0.194877707833333,0.206426804333333,0.168451140583333
"215",217,2.06421052631579,3.75041666666667,4.06666666666667,2.33458333333333,30.3933333333333,28.8283333333333,29.7589473684211,29.5575,0.146419656041667,0.17703711225,0.190651523,0.160101842791667
"216",218,1.975,3.90541666666667,4.16625,2.56541666666667,30.9058333333333,29.6991666666667,28.9817391304348,30.3975,0.119820586416667,0.156276157041667,0.17431939273913,0.152111481041667
"217",219,2.09421052631579,3.95791666666667,3.97875,2.66458333333333,30.8616666666667,30.0725,29.3872727272727,30.7316666666667,0.0967722484166667,0.135932488583333,0.159841321909091,0.138520262041667
"218",220,2.18052631578947,3.91375,3.89041666666667,2.90708333333333,32.4016666666667,31.2483333333333,30.7038095238095,31.6258333333333,0.0822597632916667,0.117410789791667,0.147061694619048,0.123171946208333
"219",221,1.54266666666667,3.76375,3.68333333333333,2.93458333333333,30.5916666666667,29.8608333333333,28.6609090909091,30.8416666666667,0.07348233275,0.101560835916667,0.132375418909091,0.110285167208333
