date,meanAT2,meanAT6,sum_R,rain_events,meanRH2,meanRH6,meanSWC5,meanSWC15,meanSWC30,meanST5,meanST15,meanST30,meanNEE,meanGPP,meanRECO,sdReco,pulseduration_S,pulseduration_M,pulseduration_L,max_pulse_duration,rain_event,days_since_rain_event
2013-03-06,16.027916666666666,16.43,0,0,21.789982051666666,19.195284312978725,12.1875,16.25,9.482916666666666,14.202083333333334,15.610416666666666,13.2125,0.11114107214827083,0.21428422829106383,0.32781638138297875,0.09978488585598046,0,0,0,0,0,13
2013-03-07,14.367083333333333,14.791666666666666,0,0,26.331753788333334,23.432047517708334,11.75,15.854166666666666,9.4904166666666665,14.008333333333333,15.670833333333333,13.602083333333333,0.075549953133125,0.24322168369208333,0.318771636825,0.11207726252064039,0,0,0,0,0,14
2013-03-16,17.976875,18.72479166666667,0,0,15.253153232666667,12.523619719125,12.958333333333334,16.833333333333332,10.442708333333334,17.004166666666666,18.554166666666667,16.260416666666668,0.2075536460583125,0.4208409442979167,0.6283945903541667,0.18466877421645012,0,0,0,0,0,8
2013-03-17,16.022916666666667,16.508958333333332,0,0,17.380028835833333,15.122410965,12.291666666666666,16.354166666666668,10.624583333333334,16.147916666666667,17.947916666666668,16.247916666666665,-0.018570527862499995,0.6318312760414584,0.6132607481875,0.20887419919813668,0,0,0,0,0,9
2013-03-18,15.101041666666667,15.637708333333332,0,0,25.3621723125,22.389622795625,11.916666666666666,15.979166666666666,10.648333333333333,16.33125,18.00625,16.19375,-0.27117002395208334,0.8435844766883334,0.57241445271875,0.1525376133282983,0,0,0,0,0,10
2013-03-19,14.84625,15.435625,0,0,27.03262488375,23.825046010416667,11.4375,15.583333333333334,10.598333333333333,16.49375,18.204166666666666,16.427083333333332,-0.30427491896297915,0.8952475877354167,0.5909726687729167,0.11816195409581573,0,0,0,0,0,11
2013-03-20,16.152083333333334,16.49608695652174,0,0,24.761662240625,22.060408700869566,11.1875,15.270833333333334,10.680625000000001,16.622916666666665,18.120833333333334,16.475,-0.10933710094756251,0.7140493965947826,0.6579413105195652,0.14532129770575916,0,0,0,0,0,12
2013-03-21,15.103958333333333,15.792916666666667,0,0,28.44538961,24.86123815125,10.5,14.791666666666666,10.810625,16.383333333333333,17.985416666666666,16.625,-0.16996703888375,0.8175282039129167,0.647561164975,0.13088131143915133,0,0,0,0,0,13
2013-03-22,15.371041666666667,15.4875,0,0,26.737871548541666,24.540123039166666,10.354166666666666,14.5,10.769166666666667,17.25,18.554166666666667,16.772916666666667,-0.07381385395291666,0.7565975832147916,0.6827837292395833,0.20611902786502392,0,0,0,0,0,14
2013-03-23,12.22375,12.626249999999999,0,0,26.728977030625,23.77951499625,9.895833333333334,14.270833333333334,10.757708333333333,15.983333333333334,18,16.839583333333334,-0.396271270005625,0.9101454867027083,0.5138742167166667,0.12257815524321553,0,0,0,0,0,15
2013-03-24,12.244395833333334,12.8210625,0,0,14.008055029166666,11.792382063791667,9.416666666666666,13.833333333333334,10.843125,15.614583333333334,17.647916666666667,16.48125,-0.4669605842525,0.9423380558795833,0.47537747160416666,0.1316738793645629,0,0,0,0,0,16
2013-03-25,13.978333333333333,14.459166666666667,0,0,15.916163870208333,13.873867932083334,9.270833333333334,13.583333333333334,10.949583333333333,16.3125,17.910416666666666,16.510416666666668,-0.5321461802458334,1.00056104901875,0.46841486882708333,0.11990915108618072,0,0,0,0,0,17
2013-03-26,16.13083333333333,16.635833333333334,0,0,15.007957172166666,12.751020866291666,9,13.458333333333334,10.893125,17.522916666666667,18.735416666666666,16.908333333333335,-0.23558128985583335,0.7766315205877083,0.5410502307104167,0.17948013438530216,0,0,0,0,0,18
2013-03-27,16.898333333333333,17.367291666666667,0,0,17.862267610208335,15.449539733729166,8.479166666666666,13.270833333333334,10.951041666666667,17.739583333333332,19.045833333333334,17.38125,-0.25894020063097917,0.7694420098104167,0.5105018091625,0.1030398955045802,0,0,0,0,0,19
2013-03-28,16.87125,17.422291666666666,0,0,22.465709373541667,19.803970245625,8.291666666666666,13.145833333333334,10.977291666666666,18.260416666666668,19.427083333333332,17.622916666666665,-0.40143349935941663,0.9014191605770834,0.49998566117291665,0.11405513942289221,0,0,0,0,0,20
2013-03-29,17.563958333333332,18.01625,0,0,20.163041700833332,17.675043821458335,8.0625,13.145833333333334,11.1175,19.733333333333334,20.8125,18.235416666666666,-0.29153198270770836,0.7992831247027083,0.5077511420416667,0.12988219527547915,0,0,0,0,0,21
2013-03-30,17.695416666666667,18.224166666666665,0,0,17.98164347125,15.61354922875,7.604166666666667,12.770833333333334,11.216666666666667,19.085416666666667,20.45,18.772916666666667,-0.22199244806541668,0.733547363971875,0.5115549158729167,0.1030420681088093,0,0,0,0,0,22
2013-03-31,16.645833333333332,17.2975,0,0,23.466688866041668,20.581663515208334,7.5,12.583333333333334,11.217916666666667,19.475,20.7625,18.65625,-0.3475417002916667,0.8148454170872916,0.4673037168,0.11383100245345326,0,0,0,0,0,23
2013-04-01,16.66625,17.2225,0,0,25.674244228541667,22.674644119375,7.333333333333333,12.5,11.299166666666666,19.808333333333334,21.360416666666666,19.104166666666668,-0.24813854215708334,0.7443155911479167,0.4961770490083333,0.1355505350817697,0,0,0,0,0,24
2013-04-02,14.062291666666667,14.592291666666666,0,0,22.051121565625,19.391961149479165,6.958333333333333,12.354166666666666,11.28,19.2875,21.275,19.308333333333334,-0.25840792011520836,0.6701197708864584,0.41171185076875,0.10641918256454279,0,0,0,0,0,25
2013-04-03,15.036875,15.585416666666667,0,0,22.145130502708334,19.557793893958333,6.75,12.104166666666666,11.186041666666666,19.227083333333333,20.9875,19.147916666666667,-0.28550148312035417,0.7031785486625,0.41767706551666667,0.1034060177980862,0,0,0,0,0,26
2013-04-04,18.034583333333334,18.577291666666667,0,0,18.634712220416667,16.494277255354167,6.625,11.958333333333334,11.170416666666666,19.83125,21.21875,19.308333333333334,-0.03991120515458333,0.554356917726875,0.5144457125604167,0.13073564256940437,0,0,0,0,0,27
2013-04-05,19.3,19.80375,0,0,17.374614915833334,15.132608142145832,6.541666666666667,12.125,11.11375,21.33125,22.420833333333334,19.75625,-0.006430085990624997,0.5801397679841667,0.5737096819833334,0.1308855215710245,0,0,0,0,0,28
2013-04-06,17.422708333333333,17.814583333333335,0,0,26.662241658958333,23.925578952916666,6.416666666666667,11.895833333333334,11.129375,21.35625,22.758333333333333,20.270833333333332,-0.05175491053208334,0.5610696221125041,0.5093147116104166,0.13239114796077456,0,0,0,0,0,29
2013-04-07,17.862291666666668,18.151666666666667,0,0,24.941805059791665,22.493751056666667,6.375,11.916666666666666,11.234791666666666,21.54375,22.954166666666666,20.545833333333334,0.012789435767291666,0.5102191946797917,0.5230086304583333,0.1323730670813166,0,0,0,0,0,30
2013-04-08,16.071666666666665,16.075833333333332,0,0,32.110926507916666,30.200046553125,6,11.5625,11.00625,20.502083333333335,22.133333333333333,20.652083333333334,0.20436558499979166,0.34045824533395835,0.5448238303458334,0.32287726786472604,0,0,0,0,0,31
2013-04-09,7.8031041666666665,7.878979166666666,0.254,1,49.711100099166664,47.06070972020834,5.333333333333333,11,10.878541666666667,16.277083333333334,19.327083333333334,19.820833333333333,-0.0754045012911875,0.317838063994875,0.24243356267708333,0.1024336486615057,0,0,0,0,0,32
2013-04-10,8.562854166666666,8.795291666666667,0,0,40.13598951708333,37.327193674375,5.6875,10.666666666666666,10.817083333333333,15.889583333333333,17.939583333333335,18.220833333333335,-0.108812285255625,0.32225373960725,0.21344145435,0.05568217666936663,0,0,0,0,0,33
