"PA","AT2","RH2","AT6","RH6","SWC5","SWC15","SWC30","ST5","ST15","ST30","NEE","RECO"
84.52027,30.46,18.92063371,31.33,17.04550958,10,10,10,38.9,36.7,31.9,0.4520295646,0.4520295646
84.5499,29.71,20.50502282,30.63,18.70159339,10,10,10,38.2,36.5,32,0.3456973172,0.3456973172
84.55082,30.12,18.77947429,30.97,17.22105456,10,10,10,37.6,36.2,32,0.4564947986,0.4564947986
84.54823,30.26,18.02694048,31.36,15.96104856,10,10,10,37,36,32.1,0.05196569602,0.3119861095
84.5374,30.51,18.20806362,31.38,16.53166617,10,10,10,36.5,35.7,32.1,0.5859391951,0.5859391951
84.5207,29.84,19.15031383,30.72,17.50457587,9,10,10,35.9,35.4,32.2,0.3137632853,0.3137632853
84.49755,29.54,19.912518,30.47,18.181979,10,10,10,35.4,35.2,32.2,0.315366613,0.315366613
84.47013,29.16,21.30678797,30.12,19.52744245,10,10,10,34.9,34.9,32.2,0.315871492,0.315871492
84.4703,28.63,21.89775595,29.68,20.15886119,9,10,10,34.5,34.7,32.2,0.290192523,0.3153504743
84.46115,28.62,21.24541828,30.21,18.70267186,10,10,10,34,34.5,32.2,0.05743531046,0.3255661169
84.43208,26.8,23.38872668,28.94,20.09571173,9,10,10,33.5,34.2,32.1,0.315693815,0.315693815
84.41445,26.99,21.85398278,29.62,17.95978778,9,10,10,33.1,34,32.1,0.3277365925,0.3277365925
84.41711,27.23,20.86112974,29.16,18.05878586,9,10,10,32.6,33.7,32.1,0.1632084028,0.3268692562
84.42736,26.66,21.60240609,28.36,19.11709556,9,10,10,32.2,33.5,32,0.3219754063,0.3219754063
84.41836,26.18,22.50432709,27.88,20.01567793,9,10,10,31.7,33.3,32,0.02904033978,0.3206886969
84.4165,26.32,22.73541548,28.3,19.83092038,9,9,10,31.3,33,31.9,0.3300017539,0.3300017539
84.43555,26.38,22.80578858,28.22,20.07784984,9,9,10,30.9,32.8,31.9,0.06884020878,0.3334638717
84.44848,26.63,22.37492704,28.5,19.64720834,9,9,10,30.5,32.5,31.8,0.78661474,0.78661474
84.45578,28.6,20.07120973,29.28,18.72628572,9,9,10,30.2,32.3,31.8,0.5414827073,0.5414827073
84.46979,30.94,17.40580361,30.76,16.98917035,9,9,10,30,32.1,31.7,0.3152820597,0.379215738
84.48421,32.37,15.96258527,31.96,15.50550977,9,9,10,29.8,31.9,31.6,0.2961272861,0.3998953742
84.50525,32.51,16.16359391,32.48,15.10310513,9,9,10,29.9,31.8,31.5,0.1108308236,0.4120757394
